state,pipeline_projects,projects_with_reported_mw,projects_with_imputed_mw,reported_pipeline_mw,imputed_pipeline_mw,explicit_onsite_projects,reported_onsite_mw,reported_no_onsite_evidence_mw,estimated_onsite_mw,estimated_no_onsite_evidence_mw,generation_mwh_2024,average_generation_mw_2024,reported_share_pct,imputed_share_pct,combined_share_pct,reported_onsite_mw_share_pct,reported_no_onsite_evidence_mw_share_pct,estimated_onsite_mw_share_pct,estimated_no_onsite_evidence_mw_share_pct,projects_still_missing_mw
IN,24,8,6,9733.0,753.0934459362011,0,0.0,9733.0,0.0,753.0934459362011,92437136.236,10552.184501826485,92.23682544894196,7.1368487331305435,99.3736741820725,0.0,92.23682544894196,0.0,7.1368487331305435,10
KS,6,4,1,2250.0,165.06017528039308,0,0.0,2250.0,0.0,165.06017528039308,57696154.944,6586.319057534246,34.16172190179842,2.5061065799959517,36.66782848179437,0.0,34.16172190179842,0.0,2.5061065799959517,1
KY,10,7,2,2615.0,490.1291322796709,0,0.0,2615.0,0.0,490.1291322796709,66949247.216,7642.608129680365,34.2160680703299,6.413113481198066,40.629181551527964,0.0,34.2160680703299,0.0,6.413113481198066,1
LA,6,3,1,2045.0,165.06017528039308,0,0.0,2045.0,0.0,165.06017528039308,87364249.472,9973.087839269407,20.50518388044008,1.6550558657516528,22.16023974619173,0.0,20.50518388044008,0.0,1.6550558657516528,2
MA,3,1,1,300.0,62.40460904276417,0,0.0,300.0,0.0,62.40460904276417,20884727.979,2384.1013674657534,12.583357574216457,2.617531699547611,15.200889273764068,0.0,12.583357574216457,0.0,2.617531699547611,1
MD,10,6,0,1496.0,0.0,0,0.0,1496.0,0.0,0.0,35319509.138,4031.9074358447483,37.10402641440017,0.0,37.10402641440017,0.0,37.10402641440017,0.0,0.0,4
ME,3,2,0,57.0,0.0,0,0.0,57.0,0.0,0.0,14532852.54,1659.0014315068493,3.435801736965811,0.0,3.435801736965811,0.0,3.435801736965811,0.0,0.0,1
MI,17,9,1,4048.5,134.08005716580666,0,0.0,4048.5,0.0,134.08005716580666,115915259.63,13232.335574200913,30.595505814509124,1.0132758228050276,31.608781637314152,0.0,30.595505814509124,0.0,1.0132758228050276,7
MN,7,3,4,1512.0,1140.2747409333354,1,1200.0,312.0,0.0,1140.2747409333354,58180879.353,6641.6528941780825,22.76541734551325,17.168538601782,39.933955947295246,18.067791544058135,4.697625801455115,0.0,17.168538601782,0
MO,25,8,8,3680.0,1811.3583022903076,0,0.0,3680.0,0.0,1811.3583022903076,66855636.965,7631.922027968037,48.218521972764215,23.733972853134258,71.95249482589847,0.0,48.218521972764215,0.0,23.733972853134258,9
MS,8,4,1,2146.0,123.11712510256179,0,0.0,2146.0,0.0,123.11712510256179,72340613.456,8258.060896803652,25.986730139403868,1.4908720902047992,27.477602229608667,0.0,25.986730139403868,0.0,1.4908720902047992,3
MT,4,4,0,2010.0,0.0,0,0.0,2010.0,0.0,0.0,26868403.96,3067.1694018264843,65.53273512715192,0.0,65.53273512715192,0.0,65.53273512715192,0.0,0.0,0
NC,18,5,3,1413.0,1028.038405477744,0,0.0,1413.0,0.0,1028.038405477744,129695864.981,14805.46403892694,9.543773814079051,6.9436419066285024,16.487415720707553,0.0,9.543773814079051,0.0,6.9436419066285024,10
ND,2,1,0,280.0,0.0,0,0.0,280.0,0.0,0.0,42557243.131,4858.132777511415,5.763531233566456,0.0,5.763531233566456,0.0,5.763531233566456,0.0,0.0,1
NE,2,0,1,0.0,314.82683429113797,0,0.0,0.0,0.0,314.82683429113797,37228935.526,4249.878484703197,0.0,7.407902024123988,7.407902024123988,0.0,0.0,0.0,7.407902024123988,1
NJ,5,1,1,300.0,0.5449762634877188,0,0.0,300.0,0.0,0.5449762634877188,60103856.69,6861.17085502283,4.3724315621783445,0.007942904717039076,4.3803744668953835,0.0,4.3724315621783445,0.0,0.007942904717039076,3
NM,3,3,0,8940.0,0.0,0,0.0,8940.0,0.0,0.0,39653341.639,4526.637173401827,197.49760490040498,0.0,197.49760490040498,0.0,197.49760490040498,0.0,0.0,0
NV,13,10,0,5302.0,0.0,1,170.0,5132.0,0.0,0.0,45335673.391,5175.3051816210045,102.44806468281185,0.0,102.44806468281185,3.284830440603171,99.16323424220867,0.0,0.0,3
NY,16,14,0,3642.0,0.0,0,0.0,3642.0,0.0,0.0,128919041.642,14716.785575570777,24.747251913798088,0.0,24.747251913798088,0.0,24.747251913798088,0.0,0.0,2
OH,43,18,7,15635.0,482.3908012996278,8,11491.0,4144.0,0.0,482.3908012996278,129605351.925,14795.13149828767,105.67665452523713,3.260469846823989,108.93712437206112,77.6674408154461,28.009213709791023,0.0,3.260469846823989,18
OK,6,0,1,0.0,96.97481460470236,0,0.0,0.0,0.0,96.97481460470236,93928231.145,10722.400815639268,0.0,0.9044132584864645,0.9044132584864645,0.0,0.0,0.0,0.9044132584864645,5
OR,8,4,1,1256.0,63.31247045272286,1,1200.0,56.0,0.0,63.31247045272286,64434950.736,7355.587983561644,17.075453421356983,0.8607397613109153,17.9361931826679,16.314127472634063,0.7613259487229229,0.0,0.8607397613109153,3
PA,51,19,21,17284.0,3856.026970585716,6,10230.0,7054.0,0.0,3856.026970585716,241453536.209,27563.18906495434,62.706822346533265,13.989770782686838,76.6965931292201,37.114718387238796,25.592103959294473,0.0,13.989770782686838,11
SC,6,5,0,1494.0,0.0,0,0.0,1494.0,0.0,0.0,95947358.277,10952.894780479452,13.640229637398212,0.0,13.640229637398212,0.0,13.640229637398212,0.0,0.0,1
SD,2,2,0,502.0,0.0,0,0.0,502.0,0.0,0.0,19434117.482,2218.506561872146,22.627834806869984,0.0,22.627834806869984,0.0,22.627834806869984,0.0,0.0,0
TN,8,4,2,1805.0,17.970689000975796,0,0.0,1805.0,0.0,17.970689000975796,76166766.272,8694.836332420091,20.7594476881614,0.20668231481217422,20.966130002973575,0.0,20.7594476881614,0.0,0.20668231481217422,2
TX,137,74,30,52791.0,3104.9332485384843,1,300.0,52491.0,0.0,3104.9332485384843,563821610.52,64363.1975479452,82.02047444997604,4.824081721896381,86.84455617187241,0.46610487270543866,81.5543695772706,0.0,4.824081721896381,33
UT,10,7,0,13225.0,0.0,1,1500.0,11725.0,0.0,0.0,31528423.799,3599.135136872146,367.4493870628398,0.0,367.4493870628398,41.6766790619478,325.77270800089195,0.0,0.0,3
VA,263,25,196,10971.0,44324.04094092501,0,0.0,10971.0,0.0,44324.04094092501,102682745.176,11721.774563470319,93.59504348590674,378.1342210679963,471.729264553903,0.0,93.59504348590674,0.0,378.1342210679963,42
WA,3,1,2,20.0,399.2027794393922,0,0.0,20.0,0.0,399.2027794393922,102377394.111,11686.917135958904,0.17113152910499363,3.415809103421335,3.5869406325263284,0.0,0.17113152910499363,0.0,3.415809103421335,0
WI,11,2,5,1325.0,961.3248406192912,0,0.0,1325.0,0.0,961.3248406192912,65276334.974,7451.636412557077,17.78132918250258,12.9008554282026,30.682184610705182,0.0,17.78132918250258,0.0,12.9008554282026,4
WV,12,7,1,9353.0,12.006295166034567,4,8453.0,900.0,0.0,12.006295166034567,50594818.008,5775.664156164384,161.93808620290906,0.20787730798405604,162.14596351089313,146.35546270428637,15.582623498622704,0.0,0.20787730798405604,4
WY,5,2,1,1500.0,134.08005716580666,0,0.0,1500.0,0.0,134.08005716580666,40258891.511,4595.763871118722,32.638752600552195,2.9174705430017727,35.556223143553964,0.0,32.638752600552195,0.0,2.9174705430017727,2
